,AskPrice1,BidPrice1,InstrumentID,LastPrice,UpdateMillisec,UpdateTime
62,456.0,455.5,i1801,456.0,674,21:00:30
63,456.0,455.5,i1801,456.0,191,21:00:32
64,456.0,455.5,i1801,456.0,696,21:00:31
65,456.0,455.5,i1801,456.0,184,21:00:33
66,456.0,455.5,i1801,455.5,694,21:00:33
67,456.0,455.5,i1801,456.0,680,21:00:32
68,456.0,455.5,i1801,455.5,192,21:00:34
69,455.5,455.0,i1801,455.5,178,21:00:35
70,456.0,455.5,i1801,455.5,697,21:00:35
71,456.0,455.5,i1801,455.5,696,21:00:34
72,456.0,455.5,i1801,455.5,700,21:00:36
73,455.5,455.0,i1801,455.5,192,21:00:36
74,455.5,455.0,i1801,455.5,192,21:00:37
75,455.5,455.0,i1801,455.5,694,21:00:37
76,456.0,455.5,i1801,455.5,195,21:00:38
77,456.0,455.5,i1801,455.5,698,21:00:38
78,456.0,455.5,i1801,455.5,700,21:00:39
79,455.5,455.0,i1801,455.5,166,21:00:40
80,455.5,455.0,i1801,455.5,697,21:00:40
81,455.5,455.0,i1801,455.5,178,21:00:41
82,455.5,455.0,i1801,455.5,201,21:00:42
83,455.5,455.0,i1801,455.5,188,21:00:43
84,455.5,455.0,i1801,455.5,693,21:00:42
85,455.5,455.0,i1801,455.5,182,21:00:44
86,455.5,455.0,i1801,455.5,698,21:00:43
87,455.5,454.5,i1801,455.0,175,21:00:45
88,455.0,454.5,i1801,455.0,689,21:00:45
89,455.5,454.5,i1801,455.0,667,21:00:44
90,455.0,454.5,i1801,455.0,172,21:00:46
91,455.5,455.0,i1801,455.0,701,21:00:46
92,455.5,455.0,i1801,455.0,105,21:00:47
93,455.5,455.0,i1801,455.0,685,21:00:47
94,455.0,454.5,i1801,455.0,189,21:00:48
95,455.5,454.5,i1801,455.0,688,21:00:49
96,455.5,455.0,i1801,455.0,683,21:00:48
97,455.5,454.5,i1801,455.0,199,21:00:50
98,455.5,454.5,i1801,455.0,697,21:00:50
99,455.5,454.5,i1801,455.0,164,21:00:51
100,455.0,454.5,i1801,455.0,702,21:00:52
101,455.0,454.5,i1801,455.0,658,21:00:51
102,455.0,454.5,i1801,455.0,145,21:00:53
103,455.5,455.0,i1801,455.0,694,21:00:53
104,455.0,454.5,i1801,455.0,700,21:00:55
105,455.5,455.0,i1801,455.0,169,21:00:55
106,455.0,454.5,i1801,455.0,188,21:00:57
107,455.0,454.5,i1801,455.0,156,21:00:56
108,455.0,454.5,i1801,455.0,651,21:00:58
109,455.0,454.5,i1801,455.0,560,21:00:57
110,455.0,454.5,i1801,455.0,199,21:00:59
111,455.0,454.5,i1801,454.5,689,21:00:59
112,455.0,454.5,i1801,455.0,694,21:01:01
113,455.0,454.5,i1801,455.0,196,21:01:02
114,455.5,454.5,i1801,455.0,100,21:01:03
115,455.5,455.0,i1801,455.0,692,21:01:03
116,455.5,455.0,i1801,455.0,199,21:01:04
117,456.0,455.0,i1801,455.5,684,21:01:04
118,456.5,456.0,i1801,456.0,602,21:01:05
119,456.5,456.0,i1801,456.0,184,21:01:05
120,456.5,456.0,i1801,456.5,694,21:01:06
121,456.5,456.0,i1801,456.5,190,21:01:07
122,456.5,456.0,i1801,456.0,188,21:01:06
123,457.0,456.5,i1801,456.5,634,21:01:07
124,457.0,456.5,i1801,456.5,202,21:01:08
125,457.0,456.5,i1801,456.5,202,21:01:09
126,457.0,456.5,i1801,456.5,669,21:01:08
127,457.0,456.5,i1801,456.5,681,21:01:09
128,457.0,456.5,i1801,456.5,172,21:01:11
129,457.0,456.5,i1801,456.5,190,21:01:10
130,457.0,456.5,i1801,456.5,665,21:01:11
131,456.5,456.0,i1801,456.5,684,21:01:12
132,456.5,456.0,i1801,456.5,198,21:01:13
133,457.0,456.5,i1801,456.5,194,21:01:12
